PERMNO,HdrCUSIP,Ticker,PERMCO,DlyCalDt,DlyPrc,DlyCap,DlyPrevPrc,DlyPrevDt,DlyPrevCap,DlyRet,DlyRetx,DlyRetI,DlyOrdDivAmt,DlyNonOrdDivAmt,DlyFacPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyBid,DlyAsk,DlyOpen,DlyNumTrd,DlyMMCnt,DlyPrcVol
10107,59491810,MSFT,8048,2013-12-31,37.410000,310503000.00,37.290000,2013-12-30,311295726.72,0.003218,0.003218,0.000000,0.000000,0.000000,1.000000,17382336,37.410000,37.217000,37.580000,37.420000,37.430000,37.400000,58400,70,650273189.8
10107,59491810,MSFT,8048,2014-01-02,37.160000,308428000.00,37.410000,2013-12-31,310503000.00,-0.006683,-0.006683,0.000000,0.000000,0.000000,1.000000,30423757,37.160000,37.100000,37.400000,37.140000,37.150000,37.350000,98974,71,1130546810.1
10107,59491810,MSFT,8048,2014-01-03,36.910000,306353000.00,37.160000,2014-01-02,308428000.00,-0.006728,-0.006728,0.000000,0.000000,0.000000,1.000000,30944370,36.910000,36.600000,37.220000,36.910000,36.920000,37.200000,100374,71,1142156696.7
10107,59491810,MSFT,8048,2014-01-06,36.130000,299879000.00,36.910000,2014-01-03,306353000.00,-0.021132,-0.021132,0.000000,0.000000,0.000000,1.000000,43111355,36.130000,36.110000,36.890000,36.130000,36.140000,36.850000,138357,71,1557613256.2
10107,59491810,MSFT,8048,2014-01-07,36.410000,302203000.00,36.130000,2014-01-06,299879000.00,0.007750,0.007750,0.000000,0.000000,0.000000,1.000000,35478667,36.410000,36.210000,36.490000,36.400000,36.410000,36.325000,119216,71,1291778265.5
10107,59491810,MSFT,8048,2014-01-08,35.760000,296808000.00,36.410000,2014-01-07,302203000.00,-0.017852,-0.017852,0.000000,0.000000,0.000000,1.000000,59452427,35.760000,35.580000,36.140000,35.750000,35.760000,36.000000,164390,71,2126018789.5
10107,59491810,MSFT,8048,2014-01-09,35.530000,294899000.00,35.760000,2014-01-08,296808000.00,-0.006432,-0.006432,0.000000,0.000000,0.000000,1.000000,36215226,35.530000,35.400000,35.910000,35.520000,35.530000,35.880000,121381,71,1286726979.8
10107,59491810,MSFT,8048,2014-01-10,36.040000,299132000.00,35.530000,2014-01-09,294899000.00,0.014354,0.014354,0.000000,0.000000,0.000000,1.000000,40212068,36.040000,35.750000,36.150000,36.040000,36.050000,35.900000,132416,71,1449242930.7
10107,59491810,MSFT,8048,2014-01-13,34.980000,290334000.00,36.040000,2014-01-10,299132000.00,-0.029412,-0.029412,0.000000,0.000000,0.000000,1.000000,45381804,34.980000,34.830000,36.020000,34.980000,34.990000,35.990000,162591,71,1587455503.9
10107,59491810,MSFT,8048,2014-01-14,35.780000,296974000.00,34.980000,2014-01-13,290334000.00,0.022870,0.022870,0.000000,0.000000,0.000000,1.000000,41104196,35.780000,34.630000,35.880000,35.770000,35.780000,34.730000,144659,71,1470708132.9
